"location","date","new_cases","total_vaccinations","new_vaccinations"
"United States","2020-12-14",217153,50468,4848
"United States","2020-12-15",181275,98353,47885
"United States","2020-12-16",198204,258504,160151
"United States","2020-12-17",198650,533742,275238
"United States","2020-12-18",240266,954790,421048
"United States","2020-12-19",246505,1139003,184213
"United States","2020-12-20",235875,1246202,107199
"United States","2020-12-21",202289,1633303,387101
"United States","2020-12-22",186429,2084575,451272
"United States","2020-12-23",183553,2662880,578305
"United States","2020-12-24",197759,2860781,197901
"United States","2020-12-25",226200,2873624,12843
"United States","2020-12-26",202550,3017158,143534
"United States","2020-12-27",161342,3114027,96869
"United States","2020-12-28",147119,3711556,597529
"United States","2020-12-29",154342,4440692,729136
"United States","2020-12-30",176774,5289609,848917
"United States","2020-12-31",208904,5716312,426703
"United States","2021-01-01",235818,5854174,137862
"United States","2021-01-02",229492,6123124,268950
"United States","2021-01-03",228546,6264523,141399
"United States","2021-01-04",225318,6930229,665706
"United States","2021-01-05",205458,7771008,840779
"United States","2021-01-06",174314,8801611,1030603
"United States","2021-01-07",242441,9979326,1177715
"United States","2021-01-08",257750,11224067,1244741
"United States","2021-01-09",269765,11736696,512629
"United States","2021-01-10",292105,11989784,253088
"United States","2021-01-11",256294,13068929,1079145
"United States","2021-01-12",224484,14334853,1265924
"United States","2021-01-13",204122,15669707,1334854
"United States","2021-01-14",217776,16995452,1325745
"United States","2021-01-15",226378,18264041,1268589
"United States","2021-01-16",223583,18915824,651783
"United States","2021-01-17",237318,19218336,302512
"United States","2021-01-18",209511,20110141,891805
"United States","2021-01-19",186583,21463944,1353803
"United States","2021-01-20",154205,23079181,1615237
"United States","2021-01-21",150233,24726816,1647635
"United States","2021-01-22",188266,26373687,1646871
"United States","2021-01-23",187644,27287063,913376
"United States","2021-01-24",189419,27690932,403869
"United States","2021-01-25",165512,29075771,1384839
"United States","2021-01-26",141554,30746637,1670866
"United States","2021-01-27",135591,32684763,1938126
"United States","2021-01-28",145943,34655252,1970489
"United States","2021-01-29",158965,36580372,1925120
"United States","2021-01-30",156822,37602504,1022132
"United States","2021-01-31",164238,38066296,463792
"United States","2021-02-01",138823,39485009,1418713
"United States","2021-02-02",111938,41197818,1712809
"United States","2021-02-03",129043,43351693,2153875
"United States","2021-02-04",121330,45708674,2356981
"United States","2021-02-05",108669,48076553,2367879
"United States","2021-02-06",122620,49383802,1307249
"United States","2021-02-07",124827,49827294,443492
"United States","2021-02-08",110180,51414409,1587115
"United States","2021-02-09",92931,53396358,1981949
"United States","2021-02-10",80726,55714633,2318275
"United States","2021-02-11",91417,58136047,2421414
"United States","2021-02-12",98339,60741211,2605164
"United States","2021-02-13",99548,62219717,1478506
"United States","2021-02-14",97431,62811106,591389
"United States","2021-02-15",85221,64010045,1198939
"United States","2021-02-16",67413,65636435,1626390
"United States","2021-02-17",58066,67610948,1974513
"United States","2021-02-18",56871,69474219,1863271
"United States","2021-02-19",63770,71445759,1971540
"United States","2021-02-20",68568,72757200,1311441
"United States","2021-02-21",73576,73358924,601724
"United States","2021-02-22",65510,74828958,1470034
"United States","2021-02-23",56628,76775442,1946484
"United States","2021-02-24",55821,79311352,2535910
"United States","2021-02-25",70162,82257772,2946420
"United States","2021-02-26",72358,85379828,3122056
"United States","2021-02-27",71998,87376038,1996210
"United States","2021-02-28",73274,88232689,856651
"United States","2021-03-01",68298,90330534,2097845
"United States","2021-03-02",52570,92805077,2474543
"United States","2021-03-03",51114,95721666,2916589
