Value Added by Industry
Value Added by Industry
"Last Revised on: December 21, 2023"
Line,,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Gross domestic product",20328.6,20580.9,20798.7,20917.9,21104.1,21384.8,21694.3,21902.4,21706.5,19913.1,21647.6,22024.5,22600.2,23292.4,23829.0,24654.6,25029.1,25544.3,25994.6,26408.4,26813.6,27063.0,27610.1
2,Private industries,17807.1,18031.3,18223.4,18329.3,18509.5,18773.2,19050.5,19223.1,18978.7,17244.5,18935.3,19290.4,19844.5,20503.0,20992.3,21799.6,22141.8,22630.1,23041.1,23417.0,23772.8,23988.8,24477.4
3,"    Agriculture, forestry, fishing, and hunting",179.3,183.5,172.4,173.3,159.4,158.9,162.8,167.0,172.3,128.5,159.0,183.3,196.8,234.6,241.1,230.2,251.8,273.2,276.0,282.2,271.1,256.4,247.4
4,"        Farms",139.3,143.3,132.0,132.7,118.8,117.5,121.0,124.5,128.3,88.4,114.5,136.7,152.4,191.4,196.4,183.5,204.8,227.4,228.4,233.5,222.3,207.6,199.3
5,"        Forestry, fishing, and related activities",40.0,40.3,40.3,40.6,40.6,41.4,41.8,42.6,44.1,40.1,44.4,46.5,44.4,43.2,44.7,46.6,47.0,45.9,47.6,48.7,48.8,48.7,48.1
6,"    Mining",300.9,314.6,322.0,316.5,302.7,305.2,286.1,281.5,241.1,146.5,195.0,223.6,278.9,309.1,340.7,399.4,419.5,504.0,484.4,421.9,382.5,357.7,389.4
7,"        Oil and gas extraction",181.0,187.0,197.8,191.1,174.5,177.3,167.7,171.4,132.1,53.8,99.4,127.4,178.4,199.8,228.3,281.3,292.9,372.4,348.3,284.6,236.7,213.0,247.8
8,"        Mining, except oil and gas",53.6,53.6,51.2,51.7,51.3,52.9,53.6,54.4,55.5,53.5,58.1,61.2,64.7,66.6,67.6,70.7,75.9,78.0,79.0,80.1,84.8,81.8,82.2
9,"        Support activities for mining",66.3,74.1,73.0,73.8,76.9,75.0,64.8,55.7,53.5,39.3,37.5,35.0,35.8,42.7,44.8,47.4,50.8,53.6,57.1,57.1,61.0,62.9,59.4
10,"    Utilities",322.0,321.7,315.9,321.9,321.5,326.6,336.2,340.6,327.7,339.9,356.3,355.2,382.7,371.5,387.1,405.6,392.3,451.3,462.0,447.2,442.2,437.7,437.6
11,"    Construction",875.5,882.6,893.5,904.7,931.1,947.6,964.2,968.2,962.7,910.5,959.2,974.8,997.3,1006.9,1011.7,1041.4,1062.8,1066.2,1093.1,1138.4,1161.2,1180.7,1219.7
12,"    Manufacturing",2230.0,2252.6,2274.5,2290.2,2251.2,2266.0,2273.7,2279.8,2215.7,1972.4,2190.4,2214.1,2265.4,2320.7,2369.1,2510.7,2564.8,2635.3,2658.5,2740.1,2729.0,2750.8,2853.1
13,"        Durable goods",1220.8,1224.4,1238.4,1246.7,1258.7,1263.1,1262.5,1264.3,1238.3,1081.6,1235.1,1243.7,1247.9,1260.0,1253.4,1319.7,1356.7,1385.1,1422.2,1463.5,1470.9,1513.7,1547.1
14,"            Wood products",36.9,37.2,37.1,36.4,36.2,36.4,36.9,37.7,39.4,36.8,46.3,48.9,56.0,61.4,63.0,59.7,62.0,62.9,62.2,61.3,58.6,57.0,61.6
15,"            Nonmetallic mineral products",58.9,59.2,59.4,60.0,61.0,62.6,64.4,63.9,62.7,61.0,64.8,66.2,66.5,66.4,67.2,70.9,71.7,72.3,73.0,75.2,76.1,76.9,78.1
16,"            Primary metals",64.4,67.4,69.4,70.0,69.0,68.0,67.5,65.1,63.4,51.2,54.8,55.1,57.9,69.7,80.1,88.2,91.5,92.2,91.9,91.5,88.7,90.9,93.7
17,"            Fabricated metal products",149.9,150.9,152.4,154.2,157.1,158.0,159.9,159.9,159.2,137.5,147.6,148.3,146.1,138.0,140.1,154.6,158.9,160.6,166.0,174.0,177.3,175.7,184.2
18,"            Machinery",155.0,153.4,155.1,155.9,160.1,161.2,161.8,160.6,156.6,140.1,149.7,153.3,154.2,154.4,149.4,165.0,171.5,176.2,184.7,196.0,195.0,193.6,200.5
19,"            Computer and electronic products",256.5,260.2,260.6,262.5,265.1,266.9,262.4,270.4,271.1,264.1,273.5,284.5,290.0,297.8,286.2,295.1,299.9,302.4,301.6,303.4,303.2,309.6,314.4
